UNITID,MajorFieldsID,MajorFieldsDesc,GrandTotal,TotalMen,TotalWomen,AmericanIndianAlaskaNativeTotal,AmericanIndianAlaskaNativeMen,AmericanIndianAlaskaNativeWomen,AsianTotal,AsianMen,AsianWomen,AfricanAmericanTotal,AfricanAmericanMen,AfricanAmericanWomen,HispanicTotal,HispanicMen,HispanicWomen,PacificIslanderTotal,PacificIslanderMen,PacificIslanderWomen,WhiteTotal,WhiteMen,WhiteWomen,TwoOrMoreRacesTotal,TwoOrMoreRacesMen,TwoOrMoreRacesWomen,RaceUnknownTotal,RaceUnknownMen,RaceUnknownWomen,NonresidentAlienTotal,NonresidentAlienMen,NonresidentAlienWomen
100654,13,Education,527,255,272,1,1,0,1,0,1,492,237,255,2,0,2,0,0,0,17,9,8,11,6,5,1,1,0,2,1,1
100654,14,Engineering,542,275,267,1,1,0,1,0,1,506,258,248,2,0,2,0,0,0,17,8,9,12,6,6,1,1,0,2,1,1
100654,26,Biological Sciences/LifeSciences,645,132,513,1,0,1,0,0,0,594,120,474,7,2,5,2,1,1,6,1,5,34,7,27,0,0,0,1,1,0
100654,27,Mathematics,22,11,11,1,1,0,0,0,0,21,10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100654,40,Physical Sciences,96,30,66,0,0,0,0,0,0,85,25,60,0,0,0,0,0,0,3,3,0,6,1,5,0,0,0,2,1,1
100654,52,Business Management and Administrative Services,737,332,405,1,0,1,4,1,3,667,304,363,5,3,2,1,1,0,16,9,7,34,10,24,1,1,0,8,3,5
100663,13,Education,948,314,634,4,3,1,24,7,17,326,118,208,25,7,18,0,0,0,521,161,360,35,14,21,6,2,4,7,2,5
100663,14,Engineering,585,422,163,1,1,0,72,47,25,79,48,31,18,13,5,0,0,0,369,281,88,18,11,7,6,5,1,22,16,6
100663,26,Biological Sciences/LifeSciences,1483,543,940,7,0,7,224,87,137,354,88,266,44,15,29,1,1,0,734,301,433,88,38,50,9,3,6,22,10,12
100663,27,Mathematics,109,59,50,1,0,1,8,7,1,27,13,14,5,2,3,0,0,0,64,34,30,0,0,0,1,1,0,3,2,1
100663,40,Physical Sciences,319,164,155,1,1,0,50,28,22,56,26,30,12,5,7,0,0,0,173,94,79,16,4,12,4,2,2,7,4,3
100663,52,Business Management and Administrative Services,2344,1236,1108,6,4,2,98,57,41,537,223,314,83,47,36,2,1,1,1472,821,651,72,34,38,21,8,13,53,41,12
100690,52,Business Management and Administrative Services,101,33,68,0,0,0,0,0,0,29,7,22,1,0,1,0,0,0,16,10,6,0,0,0,55,16,39,0,0,0
100706,13,Education,130,21,109,2,0,2,0,0,0,14,5,9,7,0,7,0,0,0,98,12,86,1,0,1,3,2,1,5,2,3
100706,14,Engineering,2167,1756,411,29,24,5,91,64,27,168,125,43,98,81,17,0,0,0,1612,1325,287,41,35,6,57,47,10,71,55,16
100706,26,Biological Sciences/LifeSciences,394,144,250,6,3,3,22,10,12,41,11,30,17,5,12,0,0,0,285,110,175,9,0,9,10,4,6,4,1,3
